,YEAR,CATEGORY,HEI,COURSE TITLE,COURSE CODE,R1 POINTS,R2 POINTS,MID SEASON POINTS,FINAL SEASON POINTS,R1 Random *,R2 Random*,FINAL SEASON POINTS RANDOM*,Test/Interview #
0,2020,Business and administration,American College,International Business,AC120,209,,280,209,,,,
1,2020,Humanities (except languages),American College,Liberal Arts,AC137,252,,270,252,,,,
2,2020,Arts,National College of Art and Design,"First Year Art & Design (Common Entry,portfolio)",AD101,NaN,,NaN,NaN,,,,#
3,2020,Arts,National College of Art and Design,Graphic Design and Moving Image Design (portfolio),AD102,NaN,,NaN,NaN,,,,#
4,2020,Arts,National College of Art and Design,Textile & Surface Design and Jewellery & Objects (portfolio),AD103,NaN,,NaN,NaN,,,,#
5,2020,Education,National College of Art and Design,"Education & Design or Fine Art (Second Level Teaching,portfolio))",AD202,NaN,,NaN,NaN,,,,#
6,2020,Arts,National College of Art and Design,Fine Art (portfolio),AD204,NaN,,NaN,NaN,,,,#
7,2020,Arts,National College of Art and Design,Fashion Design (portfolio),AD211,NaN,,NaN,NaN,,,,#
8,2020,Arts,National College of Art and Design,Product Design (portfolio),AD212,NaN,,NaN,NaN,,,,#
9,2020,Arts,National College of Art and Design,Visual Culture,AD215,377,320,389,320,,,,
10,2020,Arts,National College of Art and Design,Illustration (portfolio),AD217,NaN,,NaN,NaN,,,,#
11,2020,Information and Communication Technologies (ICTs),National College of Art and Design,Interaction Design (portfolio),AD222,NaN,,NaN,NaN,,,,#
45,2020,Information and Communication Technologies (ICTs),Athlone Institute of Technology,Software Design with Virtual Reality and Gaming,AL801,303,,367,303,,,,
46,2020,Information and Communication Technologies (ICTs),Athlone Institute of Technology,Software Design with Artificial Intelligence for Cloud Computing,AL802,332,,382,332,,,,
47,2020,Information and Communication Technologies (ICTs),Athlone Institute of Technology,Software Design with Mobile Apps and Connected Devices,AL803,337,,360,337,,,,
